Trotter_steps,circuit_layers,Final_fidelity
3,1,0.46132388
3,2,0.37220828
3,3,0.64761799
3,4,0.63345091
3,5,0.76243373
3,6,0.79697219
3,7,2.2470914e-13
3,8,1.0524914e-13
3,9,0.93164424
3,10,0.93023136
3,11,0.95401597
3,12,0.98510334
3,13,4.6781468e-12
3,14,1.5598745e-11
3,15,0.992791
3,16,0.99128247
3,17,0.9924131
3,18,0.99353291
3,19,0.9950436
3,20,0.99394236
3,21,0.99719687
3,22,0.99825851
3,23,0.99672277
3,24,0.9969969
3,25,0.99762783
3,26,0.99762525
3,27,0.99722047
3,28,0.9987623
3,29,0.99888834
3,30,0.99859483
3,31,0.99887495
3,32,0.99878604
3,33,0.99894421
3,34,0.9992984
3,35,0.99929734
3,36,0.9985342
