Trotter_steps,circuit_layers,Final_fidelity
3,1,0.46311191
3,2,0.47374457
3,3,0.63497144
3,4,0.63201288
3,5,0.77423866
3,6,0.78058156
3,7,0.76827874
3,8,0.63595659
3,9,0.90927619
3,10,0.8939959
3,11,0.96357732
3,12,0.96708687
3,13,0.96118574
3,14,0.96569581
3,15,0.9898492
3,16,0.99028843
3,17,0.99321973
3,18,0.9898765
3,19,0.9904877
3,20,0.99169111
3,21,0.99681371
3,22,0.99851432
3,23,0.99872544
3,24,0.99676983
3,25,0.99680331
3,26,0.99687867
3,27,0.9962864
3,28,0.9985293
3,29,0.99862458
3,30,0.99813313
3,31,0.99860525
3,32,0.99838347
3,33,0.9989895
3,34,0.99909855
3,35,0.99924675
3,36,0.99844034
