Trotter_steps,circuit_layers,statevector_fidelity,frobenius_error,mpo_fidelity,err_init/err_opt
6,1,0.8637942739263529,0.8052650577070823,3.323405008612726e-10,1.0
6,2,0.9042126738805465,0.9865080421618577,2.391557089524398e-10,1.0
6,3,0.9054062236336963,1.2629560989115192,1.2648145485008988e-10,1.0
6,4,0.863862939412733,1.4160664476211853,7.93902188524803e-11,1.0
6,5,0.7738116613474865,1.618871437419701,3.382074209267761e-11,1.0
6,6,0.6840242402987016,1.7201017666139047,1.8240656017475806e-11,1.0
6,7,0.5731725459812322,1.8402172991344448,5.944285424399957e-12,1.0
6,8,0.4932297947629849,2.10681983322596,2.6567086508544218e-12,1.0
6,9,0.42842965602383437,2.05363970272628,6.699044510170885e-13,1.0
6,10,0.4006772677957574,2.0448020362845436,4.673428962103205e-13,1.0
6,11,0.5063740723688054,2.1052553204444826,2.579456773090367e-12,1.0
6,12,0.6899789101998526,1.7160307681918998,1.8775119589099038e-11,1.0
