Trotter_steps,circuit_layers,Final_fidelity
5,1,0.07974481345614126
5,2,0.2961361322193734
5,3,0.3235752519420052
5,4,0.5196731700303273
5,5,0.5937647978202506
5,6,0.6365292366412834
5,7,0.7500432488332294
5,8,0.8972221233482308
5,9,0.9607750394731903
5,10,0.9885132201030851
5,11,0.987572233841793
5,12,0.9873001740464306
5,13,0.9950905800025471
5,14,0.9931964938202417
5,15,0.9895058319489971
5,16,0.9961990493674796
5,17,0.9958548477740148
5,18,0.9938068884808261
5,19,0.9941480282294562
5,20,0.9966205477694229
5,21,0.995050416332417
5,22,0.9929962832406236
