Trotter_steps,circuit_layers,Final_fidelity
5,1,0.15389986833118852
5,2,0.20964249927133505
5,3,0.1556732586720675
5,4,0.26796933261939215
5,5,0.17843442695504286
5,6,0.18579976770553386
5,7,0.17817882470197266
5,8,0.19071202573922674
5,9,0.35520978278948856
5,10,0.4377533065589765
5,11,0.4486885461555641
5,12,0.4703959942499445
5,13,0.47696737894928476
5,14,0.5041768502968984
5,15,0.518684931190807
5,16,0.5518770600571646
5,17,0.5663365233845585
5,18,0.5867508992744837
5,19,0.633283955034373
5,20,0.6780607943258827
5,21,0.686731351705614
5,22,0.7352187395677858
5,23,0.742755467681439
5,24,0.7932391110717608
5,25,0.8024471548000496
5,26,0.8710739771196951
5,27,0.8736540831734126
5,28,0.893037398937654
5,29,0.8964090234955397
5,30,0.9185533724115483
5,31,0.8444283192822358
5,32,0.8313220604736042
5,33,0.8768242243271673
5,34,0.8424266344516751
5,35,0.9636593286250139
5,36,0.9679539526618983
5,37,0.9687883535496928
5,38,0.9771528439510115
5,39,0.9789294714155724
5,40,0.9833439246833514
5,41,0.9848666526939253
5,42,0.9861404069787272
5,43,0.984511816338325
5,44,0.9834518116983414
5,45,0.988824089852789
5,46,0.9872154201402404
5,47,0.9840757088798352
5,48,0.9905027616301035
5,49,0.9924924883648027
