Trotter_steps,circuit_layers,Final_fidelity
5,1,0.7024862578893231
5,2,0.8648692024524631
5,3,0.8765298875550599
5,4,0.9755223942902013
5,5,0.9815014836914052
5,6,0.9983445722184318
5,7,0.9992354640348339
5,8,0.998923503471284
5,9,0.9996535058069231
5,10,0.9991634310466077
5,11,0.9993654056017074
5,12,0.9996041165474698
5,13,0.9925043903101056
5,14,0.9995420939609725
5,15,0.9995656657279256
5,16,0.9999010158947924
5,17,0.9999013340817127
5,18,0.9997085052615704
5,19,0.9996290423239889
5,20,0.9996661013844765
5,21,0.9998436569631359
5,22,0.9995861714831888
5,23,0.9996247889287752
