Trotter_steps,circuit_layers,Final_fidelity
5,1,0.8167181501027796
5,2,0.9225624713778511
5,3,0.9249285745679555
5,4,0.9925941036239561
5,5,0.9932070994285948
5,6,0.9601190885934188
5,7,0.9996258567752456
5,8,0.997157165356198
5,9,0.9969650146274742
5,10,0.9998179289470314
5,11,0.8310081402770712
5,12,0.9997826077995725
5,13,0.9995273238646994
5,14,0.9990409918247233
5,15,0.9998474861702951
5,16,0.9996007509961199
5,17,0.9983410746210477
5,18,0.9998819032272829
5,19,0.99988212833345
5,20,0.99973783833894
5,21,0.9999021321339071
5,22,0.9999011067938468
5,23,0.9998962613769543
5,24,0.9999002157588383
5,25,0.9998771035106782
5,26,0.9999007239564579
5,27,0.9999004087715625
5,28,0.9999008706736252
5,29,0.9999009374102198
5,30,0.9999019979447237
5,31,0.9999020474972168
5,32,0.9999008084125514
5,33,0.9999007120406841
5,34,0.9999040136663238
5,35,0.9999016277004226
5,36,0.9997803122956976
5,37,0.9999035037723772
5,38,0.9999028622693409
5,39,0.9998285273690919
5,40,0.999900115721633
5,41,0.9999012866540442
5,42,0.999902945961864
