Trotter_steps,circuit_layers,Final_fidelity
5,1,0.07974481345614126
5,2,0.2961361299759062
5,3,0.4211559817062043
5,4,0.5196731330300561
5,5,0.5934364088146935
5,6,0.6365742339674385
5,7,0.6138281032735216
5,8,0.6613477876082319
5,9,0.9635532700404945
5,10,0.986017600954129
5,11,0.9916814205082732
5,12,0.8918530869370199
5,13,0.9927012753061686
5,14,0.9887871006972239
5,15,0.9954245708967174
5,16,0.9972172879630316
5,17,0.9979516678691746
5,18,0.9973114986167695
5,19,0.9972202330020229
5,20,0.9984270718989949
5,21,0.9993061001421174
5,22,0.9988491870019637
5,23,0.9977221864038331
5,24,0.9980254227822319
5,25,0.9989877109897134
5,26,0.9984639626757981
