Trotter_steps,circuit_layers,Final_fidelity
5,1,0.07974481345614115
5,2,0.2961361320327529
5,3,0.42116193736346863
5,4,0.5196730950803469
5,5,0.5937346784684359
5,6,0.6365729704097005
5,7,0.7490529642203728
5,8,0.684707638731989
5,9,0.9613750829246833
5,10,0.7897207069583567
5,11,0.986791212402362
5,12,0.887300624207947
5,13,0.9402470156558065
5,14,0.9903434666546155
5,15,0.948749912341287
5,16,0.9973964870079429
5,17,0.9951793688337003
5,18,0.8989062429712203
5,19,0.9973518152285372
5,20,0.997865648996212
5,21,0.9991941745185747
5,22,0.9984938765847428
