Trotter_steps,circuit_layers,Final_fidelity
5,1,0.09974429898779945
5,2,0.09974429898779949
5,3,0.09974429898779942
5,4,0.1006432846625212
5,5,0.09746903986655728
5,6,0.11087079670898621
5,7,0.10942307039623224
5,8,0.11174412408361346
5,9,0.10486530278347378
5,10,0.13447390494840172
5,11,0.07961828435474583
5,12,0.16145547845810235
5,13,0.20232611973599954
5,14,0.17057582922682818
5,15,0.1721129440822987
5,16,0.2687366835083829
5,17,0.3448165583221996
5,18,0.35219350325882387
5,19,0.39098775470427133
5,20,0.5308685121630231
5,21,0.6471260995919094
5,22,0.6384288520135745
5,23,0.7259121999072355
