Trotter_steps,circuit_layers,Final_fidelity
6,1,0.8572280532055491
6,2,0.9346186791309429
6,3,0.9401847881212361
6,4,0.9961778561031858
6,5,0.9998772466143403
6,6,0.9996855417891566
6,7,0.9999900784740581
6,8,0.7045965165657645
6,9,0.999944728070406
6,10,0.9999902259661002
6,11,0.9999900174543013
6,12,0.999990105106159
6,13,0.9999900013550548
6,14,0.9999901307215845
6,15,0.9999900370011494
6,16,0.999990088773794
6,17,0.9999901591293496
6,18,0.9999900623086324
6,19,0.9999900206783102
6,20,0.9999900738543543
6,21,0.9999691256391816
6,22,0.9999900687549655
6,23,0.9999900834432406
